"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Controller\loginController.java", "Java", 60, 9, 13, 82
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Controller\registerController.java", "Java", 67, 13, 8, 88
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Controller\studentController.java", "Java", 215, 28, 25, 268
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Model\ClassModel.java", "Java", 49, 1, 15, 65
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Model\PersonModel.java", "Java", 55, 0, 17, 72
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Model\StudentModel.java", "Java", 86, 6, 19, 111
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Model\TeacherModel.java", "Java", 32, 1, 8, 41
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\Model\UserModel.java", "Java", 39, 1, 10, 50
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\View\LoginGUI.java", "Java", 134, 37, 20, 191
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\View\RegisterGUI.java", "Java", 142, 39, 21, 202
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\View\StudentListGUI.java", "Java", 147, 45, 31, 223
"c:\Users\wildm\Desktop\Class\Greenwich\PROG191\Student management\src\MVC\View\addStudentGUI.java", "Java", 296, 40, 36, 372
"Total", "-", 1322, 220, 223, 1765
